year;south_america;north_america;oceania;asia;africa
201204;0.86;1.77;0.65;2.21;0.72
201205;0.97;1.39;-0.10;1.74;1.02
201206;1.06;1.48;-0.13;1.63;0.85
201207;0.53;1.71;-0.11;1.11;0.82
201208;0.98;1.25;0.58;0.59;0.80
201209;1.32;1.33;1.10;0.90;0.57
201210;1.28;0.10;1.01;1.01;1.01
201211;1.23;0.41;1.55;0.92;1.25
201212;1.07;0.76;1.10;-0.99;0.69
201301;0.91;1.27;1.67;0.50;0.90
201302;1.00;1.20;0.81;1.41;0.98
201303;0.59;0.15;1.05;1.20;1.62
201304;0.75;-1.22;1.35;1.15;0.68
201305;0.89;0.42;1.48;1.27;1.12
201306;1.09;1.30;0.92;0.91;0.84
201307;0.80;0.48;1.42;0.60;0.89
201308;0.36;0.87;1.68;0.78;0.26
201309;0.73;1.34;2.59;0.54;0.68
201310;0.95;0.86;1.37;0.86;0.78
201311;0.89;0.02;0.68;2.87;0.88
201312;1.34;-1.67;0.74;2.79;0.54
201401;1.01;1.59;1.18;0.92;1.13
201402;0.76;-0.91;0.42;-0.18;0.64
201403;0.52;-0.84;1.00;2.73;0.68
201404;0.74;-0.04;1.30;2.01;1.08
201405;0.86;0.84;1.93;1.24;1.11
201406;1.05;0.94;0.72;0.97;0.89
201407;0.94;0.32;0.68;0.29;1.11
201408;1.18;0.75;0.15;1.09;0.97
201409;1.33;0.62;1.23;0.50;1.05
201410;1.57;1.29;1.98;0.30;0.86
201411;0.92;-0.73;1.75;1.01;0.75
201412;0.83;2.63;1.03;1.44;0.79
201501;0.90;1.67;0.28;2.33;0.37
201502;0.99;-0.42;1.67;3.29;1.04
201503;1.02;1.79;0.90;2.39;0.88
201504;1.19;1.14;-0.22;1.41;0.86
201505;1.33;1.00;0.15;1.50;1.47
201506;1.67;1.25;1.14;1.26;0.98
201507;1.38;0.54;0.53;0.70;1.28
201508;1.70;0.77;0.68;0.82;1.27
201509;1.60;1.41;0.31;0.88;1.32
201510;1.09;1.45;2.67;0.93;1.60
201511;1.15;1.92;1.76;0.95;0.86
201512;1.44;3.06;1.32;2.71;0.52
201601;1.53;3.31;0.90;1.02;1.26
201602;1.57;3.09;1.29;3.22;1.29
201603;1.20;3.10;1.90;3.29;1.56
201604;1.25;1.32;2.05;2.40;1.72
